Country,Average Income
AFG,1398.45
ALB,7352.55
DZA,11243.86
AND,47361.48
AGO,4392.41
ATG,19699.17
ARG,15646.79
ARM,5252.76
AUS,36217.34
AUT,39715.14
AZE,9375.69
BHS,29967.66
BHR,40676.34
BGD,2280.28
BRB,14759.59
BLR,11322.38
BEL,38382.48
BLZ,6623.0
BEN,1721.0
BTN,4753.1
BIH,7371.79
BWA,11645.14
BRA,12277.07
BRN,82474.76
BGR,12140.48
BFA,1227.34
BDI,765.1
CPV,4277.62
KHM,1984.07
CMR,2706.62
CAN,37334.28
CAF,854.38
TCD,1393.69
CHL,15678.62
CHN,6769.76
COL,9744.76
COM,2401.1
COG,4722.9
CRI,10864.69
HRV,17376.28
CUB,5332.0
CYP,28854.59
CZE,23530.97
CIV,2760.07
DNK,42125.21
DJI,2312.03
DMA,8303.72
DOM,9135.0
ECU,8414.72
EGY,8201.59
SLV,5737.07
GNQ,14699.28
ERI,2003.14
EST,19553.21
ETH,901.76
FJI,7034.38
FIN,35414.55
FRA,35439.9
GAB,16873.38
GMB,1394.41
GEO,5655.93
DEU,38690.48
GHA,2659.45
GRC,25251.69
GRD,9408.9
GTM,6197.9
GIN,1563.48
GNB,1470.69
GUY,4887.83
HTI,1694.79
HND,3455.66
HUN,19449.62
ISL,35479.38
IND,3589.03
IDN,7107.48
IRQ,11290.52
IRL,34987.0
ISR,26630.55
ITA,34989.69
JAM,7741.93
JPN,35567.03
JOR,7856.21
KAZ,15033.31
KEN,2327.41
KIR,3062.03
KWT,82010.07
KGZ,2469.34
LAO,3326.48
LVA,15914.83
LBN,11001.66
LSO,2568.14
LBR,866.76
LBY,19294.45
LIE,84774.55
LTU,17793.07
LUX,70483.38
MDG,1380.86
MWI,922.21
MYS,17891.17
MDV,9608.76
MLI,1617.24
MLT,25175.0
MHL,4068.45
MRT,3169.93
MUS,13585.24
MEX,15512.66
MNG,6500.55
MNE,13796.89
MAR,5390.55
MOZ,722.62
MMR,2504.79
NAM,7725.21
NRU,9506.16
NPL,1774.24
NLD,42166.83
NZL,28482.59
NIC,3522.79
NER,809.17
NGA,3939.9
MKD,9727.93
NOR,58400.66
OMN,39863.14
PAK,3885.55
PLW,12897.28
PAN,12670.9
PNG,2772.48
PRY,8300.45
PER,7930.07
PHL,5860.21
POL,17125.59
PRT,24779.55
QAT,100280.79
ROU,14524.97
RUS,19019.14
RWA,1148.0
KNA,21314.31
LCA,10103.17
VCT,8480.97
WSM,4685.93
STP,2207.59
SAU,46325.24
SEN,2559.66
SRB,10794.9
SYC,18467.48
SLE,1122.1
SGP,58849.76
SVK,19878.38
SVN,27557.28
SLB,1702.41
ZAF,10517.24
SSD,2115.91
ESP,29748.86
LKA,6894.62
SDN,2674.59
SUR,11499.34
SWE,38873.72
CHE,53708.69
SYR,4493.31
TJK,2285.48
THA,11001.07
TLS,5785.1
TGO,1278.14
TON,4817.59
TTO,21665.38
TUN,8186.83
TUR,16301.69
TKM,8232.93
TUV,5143.38
UGA,1260.31
UKR,7023.93
ARE,86467.83
GBR,34052.45
USA,46960.9
URY,14136.9
UZB,3651.72
VUT,2607.86
VNM,3401.41
YEM,2896.66
ZMB,2588.66
ZWE,2302.31
