date, BirthsPer1000, Population, GDP_USD, PerCapita_USD, LifeExpectancy
1950-12-31,23.869,8416952,,,59.096
1951-12-31,23.877,8472644,,,59.504
1952-12-31,23.886,8523684,,,59.912
1953-12-31,23.894,8573397,,,60.32
1954-12-31,23.902,8619174,,,60.728
1955-12-31,23.911,8665451,,,61.136
1956-12-31,23.919,8707083,,,61.544
1957-12-31,23.928,8748069,,,61.952
1958-12-31,23.936,8799094,,,62.36
1959-12-31,23.902,8849589,,,62.778
1960-12-31,23.868,8882469,3.193200404,360.4993,63.196
1961-12-31,23.835,8896915,3.417516639,382.7299,63.614
1962-12-31,23.801,8905437,3.668222358,407.8528,64.032
1963-12-31,23.767,8907702,3.90573446,432.5117,64.45
1964-12-31,23.469,8905558,4.235608178,468.7811,64.832
1965-12-31,23.172,8899092,4.687464055,520.9107,65.214
1966-12-31,22.874,8881847,5.135387846,575.0077,65.596
1967-12-31,22.577,8856641,5.740241166,646.8227,65.978
1968-12-31,22.279,8821528,6.354262628,719.0805,66.36
1969-12-31,21.79,8768151,6.969025826,795.7594,66.754
1970-12-31,21.302,8683631,8.108235704,934.0822,67.148
1971-12-31,20.813,8700519,9.20160424,1064.5377,67.542
1972-12-31,20.325,8833266,11.23911787,1302.2663,67.936
1973-12-31,19.836,8957960,15.09056419,1747.989,68.33
1974-12-31,19.487,9079603,17.51239148,2000.4182,68.746
1975-12-31,19.138,9202709,19.34760784,2127.6375,69.162
1976-12-31,18.79,9330201,20.33283156,2173.2839,69.578
1977-12-31,18.441,9458997,21.43952331,2267.371,69.994
1978-12-31,18.092,9578255,23.48761405,2457.3132,70.41
1979-12-31,17.404,9686178,26.62281967,2755.6246,70.834
1980-12-31,16.715,9785252,32.89651982,3368.3667,71.258
1981-12-31,16.027,9856752,31.97727687,3245.9752,71.682
1982-12-31,15.338,9904424,30.52775479,3079.9496,72.106
1983-12-31,14.65,9943821,27.23965074,2735.4911,72.53
1984-12-31,14.125,9974819,25.21796905,2522.7475,72.832
1985-12-31,13.6,9996896,27.11580774,2705.193,73.134
1986-12-31,13.074,10011030,38.74590135,3861.9484,73.436
1987-12-31,12.549,10020203,48.18292586,4803.8661,73.738
1988-12-31,12.024,10023310,56.3472507,5623.697,74.04
1989-12-31,11.843,10020315,60.59409218,6056.381,74.212
1990-12-31,11.662,10007346,78.71386022,7884.618,74.384
1991-12-31,11.481,9986415,89.23359928,8958.9853,74.556
1992-12-31,11.3,9978744,107.5920983,10810.5665,74.728
1993-12-31,11.119,9992103,95.0097519,9534.6564,74.9
1994-12-31,11.094,10018104,99.6886413,9977.3199,75.12
1995-12-31,11.069,10051248,118.1220074,11781.3619,75.34
1996-12-31,11.043,10087645,122.6300897,12185.0914,75.56
1997-12-31,11.018,10130549,117.0165352,11575.5071,75.78
1998-12-31,10.993,10179415,123.9463279,12199.2064,76
1999-12-31,10.952,10233369,127.4703856,12475.2918,76.316
2000-12-31,10.912,10300626,118.6051929,11526.3721,76.632
2001-12-31,10.871,10371819,121.6041072,11734.765,76.948
2002-12-31,10.831,10430914,134.7955655,12936.6928,77.264
2003-12-31,10.79,10473344,165.2261755,15797.7821,77.58
2004-12-31,10.581,10501522,189.3821225,18064.1581,77.92
2005-12-31,10.373,10523315,197.2538767,18780.1275,78.26
2006-12-31,10.164,10543947,208.7564493,19839.454,78.6
2007-12-31,9.956,10565551,240.4961473,22811.0565,78.94
2008-12-31,9.747,10580960,263.4163946,24949.0414,79.28
2009-12-31,9.497,10591343,244.6677628,23151.2154,79.548
2010-12-31,9.246,10588401,238.1130032,22520.6423,79.816
2011-12-31,8.996,10564826,245.1179902,23217.2955,80.084
2012-12-31,8.745,10522086,216.2242406,20563.7136,80.352
2013-12-31,8.495,10464535,226.433858,21653.196,80.62
2014-12-31,8.363,10408372,229.9019642,22103.701,80.846
2015-12-31,8.231,10365435,199.3940665,19250.1065,81.072
2016-12-31,8.1,10332753,206.4261523,19991.9725,81.298
2017-12-31,7.968,10307530,221.3578747,21490.4299,81.524
2018-12-31,7.836,10289835,242.3131166,23562.5545,81.75
2019-12-31,7.802,10289923,239.9869226,23330.8173,81.93
2020-12-31,7.768,10298192,229.0318605,22242.4064,82.11
2021-12-31,7.733,10290103,253.9828476,24598.4728,82.29
2022-12-31,7.699,10270865,251.9453775,24274.5166,82.47
2023-12-31,,10247605,,,82.65
